,id,name,lat,lon,symbol,distance,ascent
0,22614,Nationalpark Wanderroute 15 (Munt la Schera),46.6501430,10.2301984,red:white:red_bar,,
1,103607,Wanderwege SG,47.4309774,9.6201700,yellow::yellow_diamond,,
2,112830,,47.3511680,8.4897796,yellow::yellow_diamond,,
3,112831,,47.3291235,8.5007261,yellow::yellow_diamond,,
4,112833,,47.3152439,8.5050559,yellow::yellow_diamond,,
5,112834,,47.3164826,8.5186003,yellow::yellow_diamond,,
6,117485,,46.6864945,8.5941959,red:white:red_bar,,
7,117588,,46.7582930,8.6574212,yellow::yellow_diamond,,
8,118485,Rund um Sulz,47.5352432,8.0967558,yellow::yellow_diamond,,
9,120119,,46.8255681,6.5042809,yellow::yellow_diamond,,
10,120120,Les Praises-La Casba,46.8326800,6.5145084,yellow::yellow_diamond,,
11,120121,La Casba-Les Avattes,46.8356755,6.5227180,yellow::yellow_diamond,,
12,120122,Les Avattes - Hôtel du Chasseron,46.8435439,6.5313614,yellow::yellow_diamond,,
13,120123,Chasseron-Les Illars,46.8556668,6.5501737,yellow::yellow_diamond,,
14,120124,Les Illars-Les Cernets Dessus,46.8634566,6.5658229,yellow::yellow_diamond,,
15,120125,Les Cernets Dessus-Pouetta Raisse,46.8609414,6.6144089,yellow::yellow_diamond,,
16,120126,Pouetta Raisse-Môtiers,46.8964957,6.6098089,yellow::yellow_diamond,,
17,121949,,47.3265932,9.0257357,yellow::yellow_diamond,,
18,121950,Ober Loh - Untere Alpli,47.3204765,9.0322050,yellow::yellow_diamond,,
19,121951,Untere Alpli - Obere Alpli,47.3139131,9.0340285,yellow::yellow_diamond,,
20,121952,Unter Alpli - Schwämmli,47.3096563,9.0309978,yellow::yellow_diamond,,
21,121953,,47.3005555,9.0197317,yellow::yellow_diamond,,
22,121954,,47.2960901,9.0220985,yellow::yellow_diamond,,
23,121955,Obere Tweralp-Untere Tweralp,47.2915794,9.0283607,red:white:red_bar,,
24,121956,Untere Tweralp-Bodenwis,47.2808333,9.0325995,yellow::yellow_diamond,,
25,121957,Bodenwis-Gebertingerwald,47.2717847,9.0363372,yellow::yellow_diamond,,
26,121958,Gebertingerwald-Ricken,47.2671226,9.0409020,yellow::yellow_diamond,,
27,124450,,47.3028875,8.5080851,yellow::yellow_diamond,,
28,124452,,47.2857101,8.5134809,yellow::yellow_diamond,,
29,124453,,47.2712226,8.5262202,yellow::yellow_diamond,,
30,124454,,47.2635986,8.5335671,yellow::yellow_diamond,,
31,124455,,47.2647956,8.5554930,yellow::yellow_diamond,,
32,131855,Mettau Postauto - Sulz,47.5490567,8.1111345,yellow::yellow_diamond,,
33,132472,Triemli - Hohenstein,47.3623550,8.4906313,yellow::yellow_diamond,,
34,132473,Hohenstein - Uetliberg Uto Kulm,47.3552026,8.4892329,yellow::yellow_diamond,,
35,132474,Albisgüetli - Uetliberg Uto Kulm,47.3489275,8.4994754,yellow::yellow_diamond,,
36,135895,Hadlikon - Hadlikon (Bus),47.2887772,8.8581679,yellow::yellow_diamond,,
37,135896,,47.2950460,8.8502490,yellow::yellow_diamond,,
38,135898,,47.2852540,8.8695647,yellow::yellow_diamond,,
39,135901,Dürnten - Hadlikon,47.2831134,8.8494622,yellow::yellow_diamond,,
40,135927,Dürnten - Lettenmoos,47.2750342,8.8356737,yellow::yellow_diamond,,
41,135974,Hasenstrick - Breitenmatt,47.2776044,8.8789713,yellow::yellow_diamond,,
42,135975,Hadlikon - Breitenmatt,47.2819308,8.8686143,yellow::yellow_diamond,,
43,136452,,47.2784240,8.8240752,yellow::yellow_diamond,,
44,136453,,47.2686736,8.8243599,yellow::yellow_diamond,,
45,136454,,47.2691917,8.8436149,yellow::yellow_diamond,,
46,136455,,47.2684960,8.8307534,yellow::yellow_diamond,,
47,136456,,47.2646347,8.8295722,yellow::yellow_diamond,,
48,136457,,47.2616268,8.8433170,yellow::yellow_diamond,,
49,136458,Hinwil - Oberhof,47.2928383,8.8341464,yellow::yellow_diamond,,
50,136459,Dürnten - Hinwil,47.2889124,8.8389398,yellow::yellow_diamond,,
51,136460,Oberhof - Sennschür,47.2793684,8.8162043,yellow::yellow_diamond,,
52,136510,,47.2739260,8.8957778,yellow::yellow_diamond,,
53,136511,,47.2715449,8.8646750,yellow::yellow_diamond,,
54,136512,,47.2672644,8.8559288,yellow::yellow_diamond,,
55,136513,,47.2637302,8.8556643,yellow::yellow_diamond,,
56,136514,,47.2678451,8.8666451,yellow::yellow_diamond,,
57,138981,,47.2698096,8.8204598,yellow::yellow_diamond,,
58,138983,,47.2540752,8.8199090,yellow::yellow_diamond,,
59,138984,Bubikon Dorf - Sennschür,47.2706680,8.8120444,yellow::yellow_diamond,,
60,138988,,47.2729998,8.8442826,yellow::yellow_diamond,,
61,138991,,47.2642278,8.8520052,yellow::yellow_diamond,,
62,138996,,47.2828357,8.8697479,yellow::yellow_diamond,,
63,139014,,47.2736486,8.8562662,yellow::yellow_diamond,,
64,143285,Hinwil - Ambitzgiried,47.3001847,8.8212979,yellow::yellow_diamond,,
65,145771,,47.2585925,7.4437102,yellow::yellow_diamond,,
66,145772,,47.2573848,7.3944437,yellow::yellow_diamond,,
67,145839,,47.2841676,7.3859360,yellow::yellow_diamond,,
68,145840,,47.2892260,7.3930404,yellow::yellow_diamond,,
69,145841,,47.2923335,7.4015379,yellow::yellow_diamond,,
70,145842,,47.2974282,7.4120652,yellow::yellow_diamond,,
71,145843,,47.3018145,7.4201357,yellow::yellow_diamond,,
72,145854,,47.2954952,7.4551799,yellow::yellow_diamond,,
73,145855,,47.2795081,7.4549841,yellow::yellow_diamond,,
74,145859,Gänsbrunnen - Siky-Ranch,47.2692217,7.4606337,yellow::yellow_diamond,,
75,145860,,47.2647082,7.4663391,yellow::yellow_diamond,,
76,149293,,47.3243165,8.7474880,yellow::yellow_diamond,,
77,149889,Trin - Porclis,46.8276562,9.3566840,yellow::yellow_diamond,,
78,149891,,46.8148423,9.3304239,red:white:red_bar,,
79,149892,,46.8071233,9.3196379,red:white:red_bar,,
80,149893,,46.7992609,9.2926408,red:white:red_bar,,
81,151141,,47.2733628,9.4699702,red:white:red_bar,,
82,151142,,47.2847623,9.4866094,red:white:red_bar,,
83,151143,,47.2873698,9.4882413,red:white:red_bar,,
84,151144,,47.3004584,9.4947814,red:white:red_bar,,
85,151145,Zapfen-Diepoldsauer Schwamm,47.3076614,9.4976513,red:white:red_bar,,
86,151146,Diepoldsauer Schwamm-Forstseeli,47.3116644,9.4949743,red:white:red_bar,,
87,151147,Forstseeli-Bildstein,47.3208381,9.4905903,yellow::yellow_diamond,,
88,153094,Bildstein - Eggerstanden,47.3291531,9.4794768,yellow::yellow_diamond,,
89,153096,,47.3264746,9.4474003,yellow::yellow_diamond,,
90,153733,Koblenz-Kraftwerk Klingnau,47.6020574,8.2314126,yellow::yellow_diamond,,
91,153734,,47.5843118,8.2398148,yellow::yellow_diamond,,
92,153735,,47.5745137,8.2547056,yellow::yellow_diamond,,
93,157490,Bonfol-Damphreux,47.4705361,7.1289368,yellow::yellow_diamond,,
94,157491,Damphreux-Coeuvre,47.4643414,7.0999051,yellow::yellow_diamond,,
95,157492,Coeuvre-Sur le Mont,47.4532464,7.0910017,yellow::yellow_diamond,,
96,157493,Sur le Mont-Montignez,47.4690560,7.0695034,yellow::yellow_diamond,,
97,157494,Montignez-Boncourt,47.4924464,7.0359068,yellow::yellow_diamond,,
98,157613,Rotkreuz - Auleten,47.1387062,8.4378550,yellow::yellow_diamond,,
99,157920,Gersellen-Langenbüel,47.2300876,9.3380956,red:white:red_bar,,
100,157921,Haghütten-Schafbergsattel,47.2210069,9.3499408,red:white:red_bar,,
101,157922,Schafbergsattel-Schafberg Vorgipfel,47.2281315,9.3530293,red:white:red_bar,,
102,157923,Schafberg Vorgipfel - Schafberg,47.2291379,9.3519242,blue:white:blue_bar,,
103,157924,Schafbergsattel - Altmannsattel,47.2340179,9.3603323,blue:white:blue_bar,,
104,157925,Altmannsattel,47.2403127,9.3686166,red:white:red_bar,,
105,157926,Gersellen - NN Wegweiser,47.2245686,9.3336317,red:white:red_bar,,
106,162054,,46.9552769,8.3615696,yellow::yellow_diamond,,
107,162055,,46.9519948,8.3583168,yellow::yellow_diamond,,
108,162056,Ängelburg-Chälti,46.9496846,8.3540999,yellow::yellow_diamond,,
109,162057,Chälti-Wasserplatten,46.9472859,8.3510576,red:white:red_bar,,
110,162058,,46.9435259,8.3491933,red:white:red_bar,,
111,162059,,46.9360011,8.3482672,red:white:red_bar,,
112,162060,,46.9316985,8.3474707,red:white:red_bar,,
113,164354,Bahnhof Rothenthurm - Rothenthurm,47.1050349,8.6751580,yellow::yellow_diamond,,
114,164359,Oberdorf - Teuffeli,47.0941150,8.6864452,yellow::yellow_diamond,,
115,164365,Teuffeli - Brüschrainhöchi,47.0731657,8.6907012,red:white:red_bar,,
116,164366,Brüschrainhöchi - Bannegg,47.0603091,8.6769881,red:white:red_bar,,
117,164411,Bannegg - Herrenboden,47.0653198,8.6626505,red:white:red_bar,,
118,164444,Mostelberg - Sattel Talstation,47.0730247,8.6420986,yellow::yellow_diamond,,
119,166101,Thierachern-Willerüti,46.7598806,7.5724681,yellow::yellow_diamond,,
120,167367,Pt. 547 - Bossenhus,47.5711865,8.1720509,yellow::yellow_diamond,,
121,167376,Obere Egg - Bossenhus,47.5735287,8.1566963,yellow::yellow_diamond,,
122,167377,Obere Egg - Mettau Postauto,47.5657155,8.1372072,yellow::yellow_diamond,,
123,167378,Obere Egg - Schwaderloch,47.5768602,8.1454112,yellow::yellow_diamond,,
124,167394,Wandflue - Schwaderloch,47.5845854,8.1535930,yellow::yellow_diamond,,
125,167395,Bossenhus - Wandflue,47.5815338,8.1638673,yellow::yellow_diamond,,
126,167427,Obertschappina-Bruneir,46.6874194,9.3699791,red:white:red_bar,,
127,167428,Bruneir-Ober Gmeind,46.6901260,9.3641505,red:white:red_bar,,
128,167434,Bischolapass-Rüti(Safien),46.7069690,9.3413993,red:white:red_bar,,
129,167446,,46.6313920,9.2784807,red:white:red_bar,,
130,167482,Sennschür - Reipen,47.2743819,8.7933419,yellow::yellow_diamond,,
131,167495,,47.2899811,8.8731512,yellow::yellow_diamond,,
132,167496,,47.2919467,8.8717868,yellow::yellow_diamond,,
133,167499,,47.3006265,8.8538109,yellow::yellow_diamond,,
134,167848,Langenbüel - Rotsteinpass,47.2382059,9.3533639,red:white:red_bar,,
135,167849,1265 - Dreihütten,47.2202034,9.3339613,red:white:red_bar,,
136,167850,Dreihütten - Dreihütten,47.2173451,9.3378799,yellow::yellow_diamond,,
137,167852,Gamplüt - Haghütten,47.2135064,9.3455220,yellow::yellow_diamond,,
138,167853,Haghütten - Egg,47.2111651,9.3491776,yellow::yellow_diamond,,
139,167854,Chuchitobel - Egg,47.2071583,9.3524133,yellow::yellow_diamond,,
140,167859,Ober Gmeind - NN Wegweiser,46.6940216,9.3580008,red:white:red_bar,,
141,167860,- Lüschalp,46.6973567,9.3558052,red:white:red_bar,,
142,167861,Lüschalp - Bischolapass,46.7026190,9.3573588,red:white:red_bar,,
143,167871,,46.6149023,9.2790415,red:white:red_bar,,
144,167872,,46.5916665,9.2744012,red:white:red_bar,,
145,167914,Siebenwegen - Leibstadt Postauto,47.5831771,8.1767364,yellow::yellow_diamond,,
146,167915,Siebenwegen - fixme,47.5815323,8.1871162,yellow::yellow_diamond,,
147,167916,Bossenhus - Sibenwegen,47.5770419,8.1721576,yellow::yellow_diamond,,
